logFC,P.Value,adj.P.Val,symbol,FC,logPval
2.1905497856782,1.70810445688813e-10,1.05151086309457e-07,NUP58,4.51002711184138,9.76748557412537
2.72498627540649,1.81765058443314e-10,1.05151086309457e-07,NUP62,6.57372697327365,9.74048959957246
1.83845326824019,8.5174068305374e-10,2.84238216793163e-07,VEZF1,3.5063587169275,9.06969260835648
1.86291045699461,9.82673178195895e-10,2.84238216793163e-07,NUP153,3.56867696408061,9.00759089773905
1.75409635760324,2.29024539502835e-09,5.2996278440956e-07,HCFC1,3.29903502022401,8.64011798141692
1.92177954251535,3.84357547164766e-09,7.41169470116056e-07,NUP54,3.72291906882579,8.41526458679497
1.35702075338565,9.60979234853283e-09,1.58836139246464e-06,BPTF,2.46395966315234,8.01728599660416
1.33615314489241,1.71540781534157e-08,2.45200804049524e-06,RUNX1,2.42575321971352,7.76563261562249
1.84656233516728,1.90735284048895e-08,2.45200804049524e-06,RBM12,3.52690851819176,7.71956895954819
1.29977306634111,2.28709994728658e-08,2.64617463901058e-06,SF1,2.3603540214402,7.64071485611621
1.13296345836281,3.50025559254857e-08,3.68163247325336e-06,RBM26,2.0790930953513,7.4559002418267
1.67077089896554,5.04182179269071e-08,4.86115651178596e-06,PRRC2C,3.10532539067727,7.29741250888147
1.19352573899825,6.61973068057933e-08,5.49768376126351e-06,CCAR1,2.17780172019183,7.17915967918833
1.22281907345727,6.88758628017045e-08,5.49768376126351e-06,NUP214,2.22691230219869,7.16193294773838
1.49199154944952,7.12750703707456e-08,5.49768376126351e-06,SPEN,2.72388956527312,7.14706234523406
1.43069662019106,7.67934311327604e-08,5.55312498878774e-06,UBAP2L,2.60303058628731,7.11467592768731
1.06692081676785,1.81678704723179e-07,1.1677903409151e-05,ATXN2L,1.97562309166632,6.7406959750762
0.841006564301907,2.35192198532563e-07,1.32749258445865e-05,CNOT1,1.65173600539615,6.62857708816755
1.07564502374824,2.42154751846692e-07,1.32749258445865e-05,TAF4,1.98904946929326,6.6159070042943
